põld; maa(tükk):ager;agri-m
püüdlus, taotlus, hool, uurimine:studium;studii-n
laud, tahvel, kaart:tabula;tabulae-f
katus, maja, elamu:tectum;tecti-n
relv, oda:telum;teli-n
aeg:tempus;temporis-n
maa:terra;terrae-f
segadus, tunglemine, rahvahulk:turba;turbae-f
vari:umbra;umbrae-f
linn:urbs;urbis-f
tuul:ventus;venti-m
sõna:verbum;verbi-n
tõelisus, tõde:veritas;veritatis-f
tee, tänav:via;viae-f
võit:victoria;victoriae-f
mees, inimene:vir;viri-m
neitsi, neiu:virgo;virginis-f
mehisus, vaprus, noorus:virtus;virtutis-f
elu, eluviis:vita;vitae-f
viga, eksimus, pahe:vitium;vitii-n
hääl, heli, sõna, väljend:vox;vocis-f
haav:vulnus;vulneris-n
kibe, mõru:acerbus;acerba;acerbum
vastas asuv, vaenulik:adversus;adversa;adversum
haige, põdur:aeger;aegra;aegrum
tasane, õiglane:aequus;aequa;aequum
igavene, püsiv, surematu:aeternus;aeterna;aeternum
võõras:alienus;aliena;alienum
teine, muu:alius;alia;aliud
teine (kahest), järgmine:alter;altera;alterum
kõrge, sügav:altus;alta;altum
sõbralik, meeldiv:amicus;amica;amicum
kitsas, lühike, napp:angustus;angusta;angustum
vana, muistne:antiquus;antiqua;antiquum
karm, raske, tahumatu:asper;aspera;asperum
tume, must, sünge:ater;atra;atrum
õnnelik, rikas:beatus;beata;beatum
hea, tubli:bonus;bona;bonum
kallis:carus;cara;carum
kindel, teatud(arv,aeg,koht):certus;certa;certum
muu, teine, ülejäänud:ceterus;cetera;ceterum
selge, puhas, kuulus:clarus;clara;clarum
tihe, arvukas:creber;crebra;crebrum
kogu, terve:cunctus;cuncta;cunctum
ihaldav, himuline:cupidus;cupida;cupidum
vääriline, kohane:dignus;digna;dignum
erinev, vastupidine:diversus;diversa;diversum
jumalik:divinus;divina;divinum
õpetatud, haritud:doctus;docta;doctum
kahtlev, ebakindel:dubius;dubia;dubium
kõva, harimatu, raske:durus;dura;durum
väljapaistev, oivaline:egregius;egregia;egregium
vale, ekslik, võltsitud:falsus;falsa;falsum
õnnelik, õnnetoov:felix;felicis
usaldusväärne:fidus;fida;fidum
naaber-:finitimus;finitima;finitimum
kindel, tugev;firmus;firma;firmum
tugev, vapper:fortis;forte
raske, koormav:gravis;grave
auväärne, tähtis:honestus;honesta;honestum
inimlik, haritud:humanus;humana;humanum
tundmatu:ignotus;ignota;ignotum
ebakindel:incertus;incerta;incertum
vaenulik:inimicus;inimica;inimicum
õiglane; õige:iustus;iusta;iustum
rõõmus, meeldiv:laetus;laeta;laetum
lai, avar:latus;lata;latum
vaba:liber;libera;liberum
pikk:longus;longa;longum
suur, tähtis:magnus;magna;magnum
halb, paha:malus;mala;malum
küps, valminud:maturus;matura;maturum
vilets, õnnetu:miser;misera;miserum
surelik, kaduv:mortalis;mortale
hädavajalik, paratamatu:necessarius;necessaria;necessarium
tuntud, kuulus, õilis:nobilis;nobile
tuntud, tuttav:notus;nota;notum
uus:novus;nova;novum
pime, tume:obscurus;obscura;obscurum
peidetud, varjatud:occultus;occulta;occultum
iga, kõik, terve:omnis;omne
väike, noor:parvus;parva;parvum
vähene:paucus;pauca;paucum
täis, täidetud; täielik:plenus;plena;plenum
esimene:primus;prima;primum
avalik, riiklik:publicus;publica;publicum
ilus, kena:pulcher;pulchra;pulchrum
puhas, puutumatu:purus;pura;purum
rahulik, puhkav:quietus;quieta;quietum
õige, õiglane, aus:rectus;recta;rectum
ülejäänud, järelejäänud:reliquus;reliqua;reliquum
püha, pühitsetud, neetud:sacer;sacra;sacrum
raevunud, vihane:saevus;saeva;saevum
püha, austusväärne, aulik:sanctus;sancta;sanctum
terve, mõistlik:sanus;sana;sanum
range, karm:severus;severa;severum
rumal, loll:stultus;stulta;stultum
kõrgeim, ülim:summus;summa;summum
uhke, ülbe;superbus;superba;superbum
kurb, nuker, sünge:tristis;triste
kõik, kogu, terve:universus;universa;universum
kasulik, tulus:utilis;utila
tühi, vaba:vacuus;vacua;vacuum
tugev, terve:validus;valida;validum
kirju, erinev:varius;varia;varium
tõeline:verus;vera;verum
elav, elus:vivus;viva;vivum
ajama, juhtima:ago
kuulma:audio
ütlema:dico
juhtima:duco
tegema:facio
omama:habeo
õigust mõistma:ius dicere
olema:sum
mujal:alibi
hästi:bene
miks:cur
seejärel:deinde
kaua:diu
niisiis, seega:ergo
asjatult:frustra
mitte:haud
seega, järelikult:igitur
hommik, varahommikiul:mane
liiga:nimis
ei iialgi:numquam
viimaks:postremo
äkitselt:repente
sagedasti:saepe
küllalt, piisavalt:satis
alati:semper
hilja:sero
nõnda, jaa:sic
kohe, jalamaid:statim
äkki, järsku:subito
aga, kuid:at
ja, ning:atque
või:aut
kas..või:aut..aut
aga,ent:autquem
kuigi, ehkki:quamquam
ka, samuti:quoque
